pathway_size	DIS_genes	DIS_genes_add	rawp_score_max	rawp_wald_max	rawp_lr_max	rawp_score_sum2	rawp_wald_sum2	rawp_lr_sum	adjp_score_max	adjp_wald_max	adjp_lr_max	adjp_score_sum2	adjp_wald_sum2	adjp_lr_sum	pathway	address	genes
1	  35	NA	PFN1	0.6499515	0.642358	0.694119	0.637093	0.672157	0.6465835	1	1	1	1	1	1	GO_POSITIVE_REGULATION_OF_VIRAL_TRANSCRIPTION	http://www.broadinstitute.org/gsea/msigdb/cards/GO_POSITIVE_REGULATION_OF_VIRAL_TRANSCRIPTION	POLR2C POLR2J CTDP1 RSF1 POLR2B POLR2D POLR2G POLR2F POLR2A SNW1 CHD1 POLR2K CDK9 JUN POLR2E CCNT1 LEF1 POLR2H GTF2F2 SUPT5H HPN NOTCH1 EP300 SUPT4H1 POLR2L POLR2I TAF11 SMARCB1 PFN1 ZNF639 SMARCA4 MDFIC SP1 GTF2F1 TFAP4
2	 141	NA	NA	0.7068405	0.6023045	0.7199065	0.711893	0.688943	0.690407	1	1	1	1	1	1	GO_CARDIAC_CHAMBER_DEVELOPMENT	http://www.broadinstitute.org/gsea/msigdb/cards/GO_CARDIAC_CHAMBER_DEVELOPMENT	TMEM65 TBX20 HEY1 DCTN5 HEG1 FOXH1 ARID1A POU4F1 MYOCD PRDM1 NDST1 MESP1 HEY2 FOXF1 PCSK5 XIRP2 TAB1 TBX2 RARB RBPJ TBX3 C5orf42 MDM2 MYL2 SOX11 BMP4 MYL3 MED1 MEF2C PROX1 SMAD7 SOS1 ZFPM2 WNT2 LMO4 SMAD6 CPE HEYL SMO NOTCH2 COL11A1 RARA MYH10 TNNT2 MYBPC3 BMP10 TNNI3 AP2B1 GJA5 JAG1 FOXC2 HAND1 PTK7 SHOX2 SALL4 FZD1 STRA6 NPHP3 DHRS3 LTBP1 SNX17 RBM15 CRELD1 PITX2 MSX2 CAV3 ADAMTS6 TRIP11 SALL1 LRP2 NKX2-5 SEMA3C DSP ANK2 TGFBR3 PPP1R13L HES1 WNT5A DNM2 CYR61 SRF TPM1 ACVR1 CITED2 GSK3A NOTCH1 DVL3 FKBP1A ISL1 HAND2 TNNC1 NACA MYH6 RXRA PTCD2 PARVA NPY2R KCNK2 PLXND1 SMAD4 SFRP2 FHL2 GATA4 RBP4 TBX1 PKP2 SUFU RYR2 MYH7 VANGL2 TEK TNNI1 SOX4 NPY5R FGFRL1 FGF8 TBX5 MAML1 SMARCD3 WHSC1 GRHL2 OVOL2 GATA3 FGFR2 LUZP1 FOXC1 ID2 ADAMTS1 UBE4B DAND5 FRS2 GATA6 NRG1 SCN5A HIF1A EGLN1 WNT11 DLL4 SAV1 ZFPM1 FZD2
3	  21	NA	NA	0.042105	0.167481	0.1809175	0.064736	0.1249025	0.119327	1	1	1	1	1	1	GO_DNA_DEPENDENT_DNA_REPLICATION_MAINTENANCE_OF_FIDELITY	http://www.broadinstitute.org/gsea/msigdb/cards/GO_DNA_DEPENDENT_DNA_REPLICATION_MAINTENANCE_OF_FIDELITY	APITD1 ZRANB3 WRN ZNF830 BRCA2 FBXO18 FANCM RAD51 TONSL POLD1 PCNA SMARCAL1 STRA13 ATRX SETMAR MMS22L BLM TIPIN THOC1 CDK9 RTEL1
4	 136	NA	SETX	0.8133725	0.821944	0.746355	0.852549	0.734536	0.79122	1	1	1	1	1	1	GO_CIRCADIAN_RHYTHM	http://www.broadinstitute.org/gsea/msigdb/cards/GO_CIRCADIAN_RHYTHM	RELB DDC ARNTL HTR7 HDAC2 F7 SIX3 PRKCDBP ARNTL2 SYNCRIP CDK4 CSNK1E NFIL3 LIPC HNRNPD NTRK3 EGR3 HDAC3 PER2 NAMPT TIMELESS PROK1 CSNK1D USP2 THRAP3 PROK2 CLDN4 HS3ST2 SIRT1 CRY1 AHR DRD2 NPAS2 TPH2 PPP1CC KLF9 HNRNPU CREM PROX1 BHLHE41 PROKR1 PER1 PPP1CA KLF10 CCRN4L NCOR1 RORB OGT PPARA RPE65 BTBD9 LEP DRD4 SLC9A3 SREBF1 HCRTR2 EP300 RBM4B C1orf51 MTNR1A SERPINE1 MAGED1 CLOCK PPARGC1A RAI1 ATOH7 PTEN PAX4 ID4 MTA1 CRX NR1D1 ADK HNF1B HNRNPR ADIPOQ RORA AANAT PML ZFHX3 ID2 JUN RBM4 NOS2 FAS KCND2 CREB1 PER3 ATF4 TOP1 HDAC1 ID3 GFPT1 MYBBP1A MC3R METTL3 NMS CPT1A DRD3 KDM5A NAGLU SLC6A4 ATF5 MTNR1B RORC BHLHE40 JUND CARTPT TNFRSF11A NRIP1 SETX CRY2 PROKR2 NCOA2 STAR PPP1CB NTRK1 TH PRMT5 NGFR DBP AHCY NTRK2 ADCY1 TPH1 ATP7B AGRP HEBP1 GSK3B LGR4 SRD5A1 ID1 TP53 DYRK1A NONO TYMS
5	  17	NA	NA	0.3438935	0.357276	0.357276	0.355285	0.357276	0.357276	1	1	1	1	1	1	GO_PHOSPHATIDYLSERINE_ACYL_CHAIN_REMODELING	http://www.broadinstitute.org/gsea/msigdb/cards/GO_PHOSPHATIDYLSERINE_ACYL_CHAIN_REMODELING	PLA2G4B PLA2G2E PLA2G4E PLA2G4D PLA2G2F MBOAT1 PLA2G10 PLA2G4A PLA2G16 PLA2G2D PLA2G5 LPCAT4 PLA2G4F LPCAT3 PLA2G2A PLA2G1B PLA2G12A
6	 103	NA	NEFH	0.3490795	0.2053965	0.2930115	0.2853445	0.261244	0.245674	1	1	1	1	1	1	GO_SPINAL_CORD_DEVELOPMENT	http://www.broadinstitute.org/gsea/msigdb/cards/GO_SPINAL_CORD_DEVELOPMENT	ISL2 SOX11 INTU GIGYF2 PTBP2 GSX2 SOX12 NOVA1 GSX1 GLI3 SLIT2 GDPD5 NEUROG3 ZIC1 TULP3 PAX6 SUFU PROX1 PBX3 PKD1 PHGDH GLRA2 HOXB8 FOXB1 LMO4 TCTN1 NKX6-1 CLN8 DYNC2H1 TBX20 PTPRS CHRD PHOX2A MED12 SRD5A1 VLDLR NKX2-2 SOX1 OLIG3 DCC NOTCH1 NPFF EED DLL1 ISL1 ASCL1 ERCC2 ABT1 LHX5 ACTL6A IFT172 RELN MNX1 CACNA1A HOXD10 DAB1 NOG LHX4 DRGX RAPGEF3 LHX1 TAL1 AKAP5 SHH MDGA1 FOXN4 DLL4 NKX6-2 RNF2 HOXC10 PAX7 PKD2 SOX4 DMRT3 SMO MPST WNT1 GDF7 MTOR GLI2 NF1 UNCX ZNF259 BAG3 LHX3 WNT3A ACTL6B AKT1 MDGA2 EVX1 PTCH1 RFX4 GATA2 GBX1 IFT122 PLXDC1 LBX1 NEFH ZC4H2 DPYSL2 PTN OLIG2 GDF11
7	  33	NA	NA	0.4228325	0.5473385	0.521288	0.435295	0.4491515	0.449261	1	1	1	1	1	1	GO_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	http://www.broadinstitute.org/gsea/msigdb/cards/GO_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	BCAR1 VEGFA PDGFB JAK2 PLEKHA1 RGS14 PTPRJ ZFAND5 BCR FER SRC PDGFRA TIPARP PDGFD ARID5B IQGAP1 PDGFC CSRNP1 TXNIP PTPN11 RAPGEF1 NRP1 PDGFRL GAB1 PDGFRB PIK3C2A PTEN PDGFA PTPN1 PLAT MYO1E SGPL1 ABL1
8	  13	NA	NA	0.560162	0.560162	0.560162	1	1	1	1	1	1	1	1	1	GO_CELLULAR_RESPONSE_TO_LIPOPROTEIN_PARTICLE_STIMULUS	http://www.broadinstitute.org/gsea/msigdb/cards/GO_CELLULAR_RESPONSE_TO_LIPOPROTEIN_PARTICLE_STIMULUS	NPC1 CCL2 CD81 SIGLEC15 CDH13 CCL5 FCER1G FGF21 SYK ITGB2 CD36 CD9 ITGB1
9	   9	NA	NA	0.42671	0.42671	0.42671	1	1	1	1	1	1	1	1	1	GO_REGULATION_OF_NLRP3_INFLAMMASOME_COMPLEX_ASSEMBLY	http://www.broadinstitute.org/gsea/msigdb/cards/GO_REGULATION_OF_NLRP3_INFLAMMASOME_COMPLEX_ASSEMBLY	ATAT1 SIRT2 TLR4 MEFV CD36 EIF2AK2 PYDC1 TLR6 GBP5
10	  56	NA	NA	0.971982	0.971982	0.971982	1	1	1	1	1	1	1	1	1	GO_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION	http://www.broadinstitute.org/gsea/msigdb/cards/GO_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION	SFN BAD VDR CDH5 PRKCH AHI1 SFRP4 ADAMTS9 ATOH1 PTCH1 MESP1 OVOL2 IL20 PAX2 S1PR2 NOTCH1 LIF ALOX15B ATOH8 PAX8 GDNF ADAMTS20 TMEM100 PROC WNT10B NCOA3 TRIM16 NUMB PTCH2 C1orf172 IL13 PROM1 CYP27B1 H2AFY2 GDF2 H2AFY ETV2 BMP4 NME2 LHX1 CTNNB1 MED1 PAX6 BCL2 ADIPOQ ACVRL1 ALOX12 KITLG CLDN5 BTG1 BMP6 NKX6-1 FOXJ1 ZEB2 RFX3 SOX9
